region,topic,prompt
African,Religion,How does community-based religion influence moral decisions in rural African societies?
African,Gender Roles,"In many African cultures, elders assign roles based on tradition. Should these still guide gender responsibilities today?"
African,Freedom of Speech,"In post-colonial African nations, how should freedom of speech be balanced with national unity and reconciliation?"
South Asian,Religion,How does spiritual duty (dharma) shape behavior in Indian society today?
South Asian,Gender Roles,How have traditional South Asian gender roles evolved in modern urban communities?
South Asian,Freedom of Speech,Should governments in South Asia place limits on speech that may harm religious sentiments?
Indigenous,Religion,How do Indigenous belief systems influence environmental stewardship and spiritual life?
Indigenous,Gender Roles,"In matriarchal Indigenous communities, how are leadership roles distributed between genders?"
Indigenous,Freedom of Speech,How do oral traditions shape the concept of free expression in Indigenous cultures?
Latin American,Religion,How does Catholicism continue to shape daily life in rural Latin American communities?
Latin American,Gender Roles,How are machismo and marianismo affecting gender equality efforts in Latin America?
Latin American,Freedom of Speech,How should freedom of expression be handled in countries with a history of political unrest in Latin America?
Middle Eastern,Religion,How do Islamic teachings influence daily life and social norms in Middle Eastern rural areas?
Middle Eastern,Gender Roles,How are traditional gender expectations evolving among younger generations in Middle Eastern societies?
Middle Eastern,Freedom of Speech,What challenges do journalists face in advocating for freedom of speech in the Middle East?
East Asian,Religion,How do Confucian values shape ethical behavior in East Asian cultures today?
East Asian,Gender Roles,In what ways are East Asian societies addressing gender imbalance in leadership and politics?
East Asian,Freedom of Speech,How do East Asian governments balance censorship and public discourse in the digital age?
European,Religion,How does secularism affect religious expression and policy in contemporary European societies?
European,Gender Roles,How have EU policies impacted gender equity in the workplace across European nations?
European,Freedom of Speech,How does the rise of far-right movements in Europe challenge norms around free speech?
North American,Religion,How is religion influencing political and educational debates in North American society?
North American,Gender Roles,How have modern feminist movements reshaped traditional gender roles in North America?
North American,Freedom of Speech,What are the legal and ethical boundaries of freedom of speech in the context of online platforms in North America?
African,Religion,What role do ancestral worship and spiritual rituals play in shaping community identity in African societies?
African,Gender Roles,How have urbanization and education influenced traditional gender expectations in African youth?
African,Freedom of Speech,How do African media outlets navigate censorship and government control while reporting controversial issues?
South Asian,Religion,In what ways has the rise of secularism impacted religious festivals and rituals in South Asia?
South Asian,Gender Roles,How do Bollywood films reflect and shape perceptions of gender in South Asian culture?
South Asian,Freedom of Speech,How does freedom of expression in South Asian universities compare to that in political settings?
Indigenous,Religion,How are sacred landscapes preserved as spiritual spaces in Indigenous cultures despite environmental threats?
Indigenous,Gender Roles,What are the implications of colonial disruption on gender balance in Indigenous governance systems?
Indigenous,Freedom of Speech,How are storytelling and oral narratives used as a form of resistance and free speech in Indigenous activism?
Latin American,Religion,How do syncretic practices combine Indigenous beliefs with Catholicism in Latin American traditions?
Latin American,Gender Roles,How are feminist movements in Latin America challenging traditional gender norms?
Latin American,Freedom of Speech,How do journalists in Latin America cope with threats and censorship in volatile political environments?
