region,topic,prompt
Western,Religion,What does freedom of religion mean in Western societies?
Eastern,Religion,How does religion shape morality in Eastern cultures?
Western,Religion,How has Christianity influenced Western ethical values?
Eastern,Religion,How do Eastern religions view the concept of self-discipline?
Western,Gender Roles,Are gender roles becoming obsolete in Western cultures?
Eastern,Gender Roles,What are traditional gender expectations in East Asian societies?
Western,Gender Roles,How has feminism reshaped gender roles in Western society?
Eastern,Gender Roles,How do Confucian values affect gender roles in Asia?
Western,Freedom of Speech,"Should all speech, including hate speech, be protected by law in the West?"
Eastern,Freedom of Speech,How do Eastern cultures balance free speech with respect for authority?
Western,Freedom of Speech,What are the risks of limiting free speech in Western democracies?
Eastern,Freedom of Speech,How does censorship affect artistic freedom in Eastern countries?
Western,Religion,How is religion adapting to secular trends in Western societies?
Eastern,Religion,What role does Buddhism play in shaping Eastern social values?
Western,Religion,How do Western societies address religious diversity in public institutions?
Eastern,Religion,How is modern youth in Eastern countries redefining religious practices?
Western,Religion,How has the decline of church attendance affected community life?
Eastern,Religion,How do festivals and rituals shape religious identity in Eastern cultures?
Western,Gender Roles,Are gender roles in Western media becoming more inclusive?
Eastern,Gender Roles,What is the impact of modernization on gender expectations in Asia?
Western,Gender Roles,How do Western feminist movements approach LGBTQ+ gender issues?
Eastern,Gender Roles,How are traditional family roles changing in Eastern urban areas?
Western,Gender Roles,What is the role of masculinity in Western gender discourse?
Eastern,Gender Roles,How does filial piety influence gender roles in Eastern families?
Western,Freedom of Speech,Should universities in the West allow controversial speakers?
Eastern,Freedom of Speech,How does collectivism influence views on speech in Eastern societies?
Western,Freedom of Speech,How do satire and comedy challenge authority in Western culture?
Eastern,Freedom of Speech,How do government restrictions shape online discourse in Eastern countries?
Western,Freedom of Speech,How does protest culture reflect freedom of expression in the West?
Eastern,Freedom of Speech,How do students in Eastern countries express dissent under speech limits?
Western,Religion,How does religious freedom influence immigration policy in the West?
Eastern,Religion,How are youth-led movements reshaping religion in Eastern countries?
Western,Religion,What role does religion play in shaping Western political ideologies?
Eastern,Religion,How do Eastern religious traditions approach the idea of karma and fate?
Western,Religion,How do Western secular values influence interfaith marriage?
Eastern,Religion,How does ancestor worship reflect religious and cultural identity in Asia?
Western,Gender Roles,How are Western workplaces addressing gender inclusivity beyond the binary?
Eastern,Gender Roles,How do gender roles impact educational opportunities in Eastern societies?
Western,Gender Roles,What role does media play in challenging gender norms in the West?
Eastern,Gender Roles,How do gender roles differ between rural and urban areas in Asia?
Western,Gender Roles,How are non-binary identities represented in Western legal systems?
Eastern,Gender Roles,How do generational views on gender roles differ in Eastern families?
