region,topic,prompt
Africa,Philosophy,What are the values emphasized in Ubuntu philosophy?
Africa,Leadership,How should a leader act in a traditional African village?
Africa,Family Structure,What is the role of elders in African family decision-making?
Africa,Community Values,How important is community over individualism in African societies?
Africa,Politics,How do African nations view the role of the West in development?
Africa,Music & Culture,What is the cultural significance of traditional African music?
Africa,Government Policy,How should a government support rural African communities?
Africa,Marriage Customs,What are views on polygamy in modern African cultures?
Africa,Education,How is education viewed across different African cultures?
Africa,Conflict Resolution,What are traditional conflict resolution methods in African tribes?
Africa,Gender Roles,How do gender roles vary across African cultures?
Africa,Religion,What role does religion play in shaping social behavior in African societies?
Africa,Health Beliefs,How are traditional healing practices perceived in African communities?
Africa,Environment,What is the cultural relationship between African communities and the land?
Africa,Storytelling,What is the role of oral storytelling in preserving African history?
Africa,Youth Culture,How are youth shaping modern African cultural identities?
Africa,Technology,What are the cultural attitudes toward digital technology in African rural areas?
Africa,Colonial Legacy,How is colonialism remembered and discussed in African societies today?
Africa,Justice,What does justice mean in the context of traditional African law?
Africa,Hospitality,How is hospitality culturally expressed in African traditions?
Africa,Work Ethic,How is hard work valued in traditional African communities?
Africa,Art,What role does traditional African art play in cultural identity?
Africa,Language,How do African proverbs reflect collective cultural wisdom?
Africa,Diaspora,How do African countries view the return or influence of the African diaspora?
Africa,Sustainability,What are traditional African practices that promote sustainability?
Africa,Eldercare,How are aging and elder care handled in African cultural settings?
Africa,Corruption,How is political corruption perceived in African societies?
Africa,Festivals,What is the cultural importance of festivals in African regions?
Africa,Death & Mourning,What are the cultural customs around death and mourning in Africa?
Africa,Peacebuilding,How do traditional African communities resolve intergroup conflict?
